txn_id,ts,payer_user_id,payer_vpa,payee_name,payee_vpa,mcc,amount_inr,currency,txn_type,status,rrn,failure_reason,device_os,city_tier
UPI60076323399052,2025-03-30 03:30:08,USR000990,ananth61@apl,Zerodha,212@paytm,5812,93.88,INR,BillPay,SUCCESS,163187132293,,Android,T3
UPI68042612386623,2025-12-07 23:57:20,USR000990,ananth64@okicici,Local Kirana,827@okaxis,5814,18616.71,INR,P2M,SUCCESS,427992356706,,Android,T3
UPI51844639800676,2025-02-26 19:29:08,USR000990,ananth4@apl,Decathlon,552@okicici,5814,66.22,INR,P2M,SUCCESS,393220622915,,Android,T3
UPI87389148633727,2025-09-02 06:11:18,USR000990,ananth85@apl,Aditya Subramanian,685@upi,5732,132.49,INR,P2P,SUCCESS,661256848246,,Android,T3
UPI22249537689130,2025-02-22 16:10:02,USR000990,ananth84@okstatebank,Salma Mehta,697@okstatebank,5732,112.44,INR,P2P,SUCCESS,267353500303,,Android,T3
UPI41735390016854,2025-05-03 10:19:47,USR000990,ananth2@okstatebank,Apollo Pharmacy,588@paytm,5912,2540.04,INR,P2M,SUCCESS,871282468693,,Android,T3
UPI84468038605128,2025-11-23 19:00:42,USR000990,ananth66@apl,IRCTC,102@paytm,5411,147467.8,INR,BillPay,SUCCESS,753284287194,,Android,T3
UPI38735600198907,2025-06-02 00:51:20,USR000990,ananth61@paytm,Nykaa,788@okstatebank,5912,261.66,INR,BillPay,SUCCESS,158759285954,,Android,T3
UPI63182382317528,2025-08-04 23:23:32,USR000990,ananth2@apl,PolicyBazaar,135@paytm,5732,4431.85,INR,Recharge,SUCCESS,329931139473,,Android,T3
UPI44852728523543,2025-05-03 23:52:52,USR000990,ananth95@ybl,Decathlon,373@okicici,5311,3723.51,INR,BillPay,SUCCESS,156630300527,,Android,T3
UPI39970364543848,2025-09-14 20:10:07,USR000990,ananth19@apl,Naina Iyer,114@okicici,5912,318.57,INR,P2P,PENDING,712072147708,,Android,T3
UPI30931980299095,2025-03-17 12:06:25,USR000794,chandran16@okicici,Tata Power,282@apl,5311,289.02,INR,P2M,SUCCESS,479562608185,,iOS,T2
UPI96933171668579,2025-07-17 04:14:56,USR000794,chandran64@okstatebank,Local Kirana,998@apl,5732,26252.03,INR,P2M,SUCCESS,365902080112,,iOS,T2
UPI89665007233188,2025-11-02 10:24:46,USR000794,chandran41@okstatebank,Nykaa,702@okstatebank,5732,314.9,INR,Recharge,SUCCESS,141557268284,,iOS,T2
UPI82800359616464,2025-08-12 03:29:08,USR000794,chandran48@paytm,Airtel,220@okicici,4111,4517.14,INR,P2M,SUCCESS,480164959444,,iOS,T2
UPI88640375829202,2025-10-17 06:05:53,USR000794,chandran13@ibl,Zomato,259@okhdfcbank,5812,3037.32,INR,P2M,SUCCESS,189660950977,,iOS,T2
UPI47789560623593,2025-08-03 19:09:26,USR000794,chandran69@okstatebank,Amazon,636@okicici,5411,4343.11,INR,Recharge,SUCCESS,640506074872,,iOS,T2
UPI77561963396313,2025-04-07 21:18:55,USR000794,chandran26@ibl,Groww,201@paytm,5411,152739.15,INR,P2M,SUCCESS,179004213316,,iOS,T2
UPI32583789918517,2025-12-19 17:36:36,USR000794,chandran47@paytm,BMTC,139@ibl,5812,303.1,INR,BillPay,SUCCESS,283869227483,,iOS,T2
UPI67330291515686,2025-11-09 23:56:20,USR000352,asma51@ybl,Dmart,901@okstatebank,5411,2467.11,INR,P2M,SUCCESS,940090527463,,Web-Desktop,T3
UPI83439950069610,2025-10-16 14:56:10,USR000352,asma37@upi,Vikram Menon,269@paytm,5411,1439.26,INR,P2P,SUCCESS,757760302847,,Web-Desktop,T3
UPI78381334564426,2025-09-13 16:04:09,USR000352,asma63@upi,Uber,274@okhdfcbank,5732,47521.65,INR,P2M,SUCCESS,858246585067,,Web-Desktop,T3
UPI47725557781330,2025-07-11 14:43:39,USR000352,asma16@okstatebank,Zara Shetty,629@apl,4111,30119.99,INR,P2P,SUCCESS,551789550780,,Web-Desktop,T3
UPI54757865578905,2025-03-05 17:00:18,USR000352,asma88@okicici,Petrol Pump-HPCL,523@okaxis,5411,288.95,INR,P2M,FAILURE,330808717236,INSUFFICIENT_BALANCE,Web-Desktop,T3
UPI45838856018269,2025-12-05 05:23:47,USR000352,asma62@apl,Salma Banerjee,938@okhdfcbank,5912,1521.12,INR,P2P,SUCCESS,678944021699,,Web-Desktop,T3
UPI79315321520941,2025-06-24 07:15:08,USR000352,asma81@okicici,Priya Kulkarni,743@apl,6300,181.85,INR,P2P,SUCCESS,589291694612,,Web-Desktop,T3
UPI51426226105328,2025-06-07 07:21:39,USR000352,asma17@upi,Ola,169@okstatebank,6011,52.18,INR,P2M,FAILURE,560868779665,LIMIT_EXCEEDED,Web-Desktop,T3
UPI54227261569813,2025-03-05 06:20:47,USR000352,asma1@upi,BESCOM,876@paytm,5732,314.71,INR,P2M,SUCCESS,320827913004,,Web-Desktop,T3
UPI31492826390235,2025-01-05 07:38:37,USR000352,asma84@okicici,Asma Verma,587@apl,5814,4587.18,INR,P2P,SUCCESS,568280311068,,Web-Desktop,T3
UPI10001279236751,2025-10-11 08:16:44,USR000352,asma52@upi,Tata Power,261@ybl,6011,169.97,INR,P2M,SUCCESS,805428723531,,Web-Desktop,T3
UPI78934066764901,2025-03-14 09:55:25,USR000352,asma42@okicici,Myntra,139@apl,4111,987.44,INR,BillPay,SUCCESS,194264665532,,Web-Desktop,T3
UPI95186154623358,2025-09-19 13:40:50,USR000352,asma40@ibl,Aanya Banerjee,597@okicici,5732,213.82,INR,P2P,SUCCESS,647859398998,,Web-Desktop,T3
UPI96127779582761,2025-10-08 15:22:51,USR000352,asma20@okstatebank,Groww,296@okaxis,5912,865.89,INR,P2M,SUCCESS,417308528196,,Web-Desktop,T3
UPI35822392394730,2025-04-22 12:38:02,USR000352,asma2@ibl,Myntra,349@okaxis,5732,3822.09,INR,BillPay,SUCCESS,703161504265,,Web-Desktop,T3
UPI82249083554170,2025-06-08 18:17:25,USR000352,asma86@ybl,BigBasket,847@okaxis,5812,129560.87,INR,Recharge,SUCCESS,564798318432,,Web-Desktop,T3
UPI48145646147561,2025-09-05 05:16:02,USR000352,asma87@okaxis,Karthik Singh,391@ibl,6300,43.27,INR,P2P,SUCCESS,231168708147,,Web-Desktop,T3
UPI33769606920945,2025-06-11 22:38:38,USR000352,asma24@ybl,Swiggy,399@okicici,5812,203.02,INR,BillPay,SUCCESS,986155412071,,Web-Desktop,T3
UPI83264250479184,2025-11-14 08:14:35,USR000352,asma67@okstatebank,Priya Sen,682@okhdfcbank,6300,20665.06,INR,P2P,SUCCESS,765187929374,,Web-Desktop,T3
UPI31519160703757,2025-05-07 13:25:15,USR000352,asma24@apl,Amazon,424@ibl,5814,1629.57,INR,BillPay,SUCCESS,207040553901,,Web-Desktop,T3
UPI87113457874333,2025-01-16 23:36:33,USR000352,asma25@apl,BlinkIt,272@apl,4814,351.45,INR,P2M,SUCCESS,350749601526,,Web-Desktop,T3
UPI95507779581127,2025-01-22 11:27:50,USR000352,asma3@okhdfcbank,Ola,604@apl,5311,172.27,INR,P2M,FAILURE,381981896497,BENE_BANK_TIMEOUT,Web-Desktop,T3
UPI15786306049277,2025-12-29 23:16:01,USR000352,asma93@okhdfcbank,Petrol Pump-IOC,268@okstatebank,5912,1205.28,INR,P2M,SUCCESS,227958766713,,Web-Desktop,T3
UPI62627722541476,2025-11-27 09:38:18,USR000352,asma42@okicici,Myntra,609@ybl,5411,142.32,INR,P2M,SUCCESS,577090995392,,Web-Desktop,T3
UPI12615680987935,2025-09-01 08:28:37,USR000352,asma99@okhdfcbank,Reza Lakshman,228@okicici,5732,148.08,INR,P2P,SUCCESS,507055370498,,Web-Desktop,T3
UPI94588909245945,2025-01-24 11:16:05,USR000352,asma39@paytm,Sneha Shah,520@apl,5311,272.98,INR,P2P,SUCCESS,612676931818,,Web-Desktop,T3
UPI94855017855956,2025-02-16 08:11:20,USR000352,asma40@ibl,Zomato,363@okhdfcbank,4814,4702.56,INR,P2M,SUCCESS,633228969938,,Web-Desktop,T3
UPI36502960382061,2025-05-21 01:28:51,USR000352,asma28@ibl,BMTC,966@upi,5311,1791.08,INR,BillPay,SUCCESS,256300633796,,Web-Desktop,T3
UPI54780319296299,2025-11-18 02:02:27,USR000352,asma61@apl,Nykaa,714@paytm,5912,2808.16,INR,P2M,SUCCESS,961590705240,,Web-Desktop,T3
UPI55221382780227,2025-08-19 20:17:20,USR000352,asma40@okstatebank,RedBus,726@apl,5411,191.66,INR,P2M,SUCCESS,617807983060,,Web-Desktop,T3
UPI17967097475055,2025-09-11 02:30:42,USR000352,asma95@okhdfcbank,Zerodha,241@upi,5411,2554.27,INR,P2M,SUCCESS,605235766883,,Web-Desktop,T3
UPI19469241034097,2025-03-07 13:34:30,USR000352,asma56@upi,IRCTC,531@ybl,5411,3337.67,INR,BillPay,SUCCESS,229890754130,,Web-Desktop,T3
UPI81087834250537,2025-04-07 22:48:00,USR000352,asma86@okaxis,Zerodha,248@okhdfcbank,5814,4466.93,INR,P2M,SUCCESS,341238301123,,Web-Desktop,T3
UPI39736469060380,2025-01-24 21:53:01,USR000352,asma50@ybl,Myntra,786@okstatebank,5912,30.79,INR,P2M,SUCCESS,320615300320,,Web-Desktop,T3
UPI20794367498262,2025-09-29 15:03:54,USR000352,asma90@ibl,Zerodha,907@ybl,5411,2876.03,INR,P2M,SUCCESS,573386228090,,Web-Desktop,T3
UPI94310072081872,2025-10-18 13:04:35,USR000352,asma13@upi,Petrol Pump-HPCL,945@ybl,4814,160.72,INR,P2M,SUCCESS,833121127710,,Web-Desktop,T3
UPI59153473822491,2025-02-24 08:55:41,USR000697,aanya75@ybl,BESCOM,502@okstatebank,4814,160.55,INR,P2M,SUCCESS,320236865260,,Web-Desktop,T1
UPI44613454788810,2025-01-01 15:49:14,USR000697,aanya29@okhdfcbank,Nykaa,767@okhdfcbank,5812,460.16,INR,P2M,SUCCESS,582690768318,,Web-Desktop,T1
UPI94385532418024,2025-03-18 17:12:01,USR000697,aanya8@apl,BSNL,730@okhdfcbank,4814,913.97,INR,P2M,SUCCESS,423731635462,,Web-Desktop,T1
UPI39743806292391,2025-12-01 00:31:27,USR000697,aanya70@okhdfcbank,Zomato,288@paytm,5812,2826.44,INR,P2M,SUCCESS,327775808452,,Web-Desktop,T1
UPI60498331255671,2025-11-29 06:35:56,USR000697,aanya88@ybl,BSE,912@okhdfcbank,5812,4674.11,INR,BillPay,SUCCESS,398027166970,,Web-Desktop,T1
UPI84441598750865,2025-10-23 11:23:28,USR000653,nikhil90@apl,Tanvi Kulkarni,198@okaxis,6011,252.94,INR,P2P,SUCCESS,509606335650,,Android,T1
UPI58525317351709,2025-04-28 09:43:01,USR000653,nikhil65@okhdfcbank,Reliance Jio,745@okhdfcbank,5912,2522.59,INR,P2M,SUCCESS,602489710994,,Android,T1
UPI75402367569546,2025-12-22 01:46:29,USR000653,nikhil94@upi,Selvi Venkatesh,490@okstatebank,5411,348.86,INR,P2P,SUCCESS,675804435333,,Android,T1
UPI52396013151872,2025-09-14 11:37:13,USR000653,nikhil31@ybl,Groww,305@okstatebank,4814,32.94,INR,P2M,FAILURE,186250556489,BENE_BANK_TIMEOUT,Android,T1
UPI56250951342134,2025-07-30 12:56:49,USR000653,nikhil81@ybl,Naina Krishnan,125@okaxis,5814,481.24,INR,P2P,SUCCESS,520394561331,,Android,T1
UPI25940785848755,2025-12-10 17:23:27,USR000653,nikhil97@paytm,BMTC,886@okstatebank,5814,3384.76,INR,BillPay,SUCCESS,481312090039,,Android,T1
UPI88979136177595,2025-10-23 00:35:50,USR000653,nikhil41@okicici,Tata Power,256@okaxis,6300,182.84,INR,P2M,SUCCESS,338881624410,,Android,T1
UPI22495315044249,2025-11-05 16:51:48,USR000653,nikhil97@okhdfcbank,RedBus,957@ibl,5732,3419.13,INR,P2M,SUCCESS,540576124973,,Android,T1
UPI80914984716295,2025-08-18 21:27:30,USR000653,nikhil51@okstatebank,Aarav Mishra,227@okaxis,6011,184.7,INR,P2P,SUCCESS,574976477059,,Android,T1
UPI98437423358678,2025-05-28 12:51:36,USR000653,nikhil28@upi,Groww,288@upi,5912,122427.58,INR,P2M,SUCCESS,214442534535,,Android,T1
UPI66884504973079,2025-06-22 08:15:34,USR000653,nikhil44@okicici,Zara Iyer,131@okaxis,5411,160.39,INR,P2P,SUCCESS,737549144652,,Android,T1
UPI38199083498445,2025-09-24 00:58:31,USR000653,nikhil66@okicici,BigBasket,592@ibl,5814,4301.61,INR,P2M,SUCCESS,552014912520,,Android,T1
UPI79164713873764,2025-08-11 20:28:43,USR000653,nikhil47@upi,Aditya Bansal,298@okaxis,5812,2378.87,INR,P2P,SUCCESS,961355655875,,Android,T1
UPI79492973946102,2025-10-05 16:12:18,USR000653,nikhil37@okhdfcbank,Pooja Bansal,986@upi,5814,60.36,INR,P2P,PENDING,305032258462,,Android,T1
UPI12572828250152,2025-11-14 13:30:12,USR000653,nikhil59@okaxis,Airtel,314@apl,4814,138.27,INR,P2M,SUCCESS,948017087168,,Android,T1
UPI36023029067523,2025-03-01 22:03:01,USR000653,nikhil55@okhdfcbank,Ola,278@okicici,5411,309.09,INR,P2M,SUCCESS,403776981831,,Android,T1
UPI71861050422806,2025-02-06 12:23:24,USR000653,nikhil31@okhdfcbank,Petrol Pump-HPCL,298@apl,5814,663.36,INR,P2M,SUCCESS,961133051181,,Android,T1
UPI64737501388384,2025-10-28 04:37:44,USR000653,nikhil81@ybl,Rohan Shetty,974@apl,6300,1542.38,INR,P2P,SUCCESS,269941888508,,Android,T1
UPI69416058011313,2025-12-23 09:59:27,USR000653,nikhil46@apl,Flipkart,184@ibl,6011,30141.73,INR,P2M,SUCCESS,932102000335,,Android,T1
UPI37867289202030,2025-08-30 15:52:48,USR000653,nikhil4@okicici,Swati Dubey,739@upi,5912,3712.91,INR,P2P,SUCCESS,968562938769,,Android,T1
UPI91831730626079,2025-05-26 11:03:16,USR000653,nikhil1@ybl,BigBasket,935@ibl,5311,176.78,INR,BillPay,FAILURE,187574614626,INSUFFICIENT_BALANCE,Android,T1
UPI37567765367605,2025-08-11 16:40:18,USR000653,nikhil87@ibl,Arjun Padmanabhan,455@okhdfcbank,4111,446.75,INR,P2P,SUCCESS,195205681192,,Android,T1
UPI30529207267246,2025-06-15 05:41:53,USR000653,nikhil43@okstatebank,Mihir Ghosh,440@apl,4111,470.8,INR,P2P,SUCCESS,377310746714,,Android,T1
UPI44407695521267,2025-04-26 12:41:19,USR000653,nikhil94@okstatebank,Airtel,896@paytm,5812,328.72,INR,P2M,SUCCESS,651436970214,,Android,T1
UPI13998646706414,2025-07-09 11:55:28,USR000047,sneha29@ibl,HDFC Life Premium,732@ybl,5411,497.84,INR,P2M,SUCCESS,979056384284,,Android,T3
UPI21919409960241,2025-10-19 22:30:39,USR000047,sneha91@paytm,Sanjana Sharma,418@okicici,5812,4974.89,INR,P2P,SUCCESS,875262901438,,Android,T3
UPI89174147778544,2025-08-05 08:25:31,USR000047,sneha82@okhdfcbank,Groww,824@okicici,6300,2871.59,INR,BillPay,SUCCESS,561142734635,,Android,T3
UPI30707652331650,2025-05-13 06:39:53,USR000047,sneha42@ibl,Deepika Pai,869@okstatebank,5311,10949.44,INR,P2P,FAILURE,950765405989,VPA_INVALID,Android,T3
UPI62431257926212,2025-12-15 03:24:50,USR000047,sneha42@okaxis,Dmart,240@okaxis,5812,469.48,INR,P2M,SUCCESS,543969154040,,Android,T3
UPI80692740849087,2025-11-09 04:41:15,USR000047,sneha34@upi,INDmoney,433@apl,5814,347.31,INR,P2M,SUCCESS,414035830197,,Android,T3
UPI67133725354925,2025-11-08 16:48:19,USR000047,sneha58@ybl,Petrol Pump-HPCL,742@ibl,5912,103.94,INR,P2M,SUCCESS,160472732299,,Android,T3
UPI64851950034582,2025-04-24 03:32:52,USR000047,sneha82@ybl,Flipkart,788@okicici,5732,972.12,INR,BillPay,FAILURE,771413061854,VPA_INVALID,Android,T3
UPI76666686549633,2025-08-22 11:46:23,USR000047,sneha37@apl,Imran Kaur,212@okstatebank,5411,324.49,INR,P2P,SUCCESS,360825511537,,Android,T3
UPI66255321708955,2025-04-13 07:39:07,USR000047,sneha61@okaxis,Swiggy,775@ybl,5732,409.84,INR,P2M,SUCCESS,843081109299,,Android,T3
UPI75735930154559,2025-09-16 00:10:53,USR000047,sneha12@ybl,Gauri Jain,470@okstatebank,5912,53.15,INR,P2P,SUCCESS,504330173458,,Android,T3
UPI50670540674384,2025-06-18 15:14:05,USR000047,sneha70@okaxis,Manisha Yadav,447@upi,5912,58.84,INR,P2P,SUCCESS,591210847538,,Android,T3
UPI11162410464912,2025-10-28 18:10:44,USR000047,sneha85@okaxis,Salma Bose,721@okaxis,5311,123.2,INR,P2P,PENDING,122900257366,,Android,T3
UPI37648477187320,2025-08-03 11:52:56,USR000047,sneha70@okicici,PolicyBazaar,600@okaxis,6011,4738.24,INR,P2M,FAILURE,984825894188,INSUFFICIENT_BALANCE,Android,T3
UPI21596779921270,2025-01-26 18:14:41,USR000047,sneha1@okstatebank,INDmoney,399@upi,5814,25.07,INR,BillPay,FAILURE,885130523240,VPA_INVALID,Android,T3
UPI78883958097064,2025-09-30 02:25:40,USR000047,sneha10@okstatebank,BigBasket,924@upi,5814,2458.73,INR,Recharge,SUCCESS,217771984747,,Android,T3
UPI25159758451049,2025-05-31 18:55:58,USR000047,sneha96@paytm,Naina Menon,290@okstatebank,5411,2771.0,INR,P2P,SUCCESS,289297431218,,Android,T3
UPI58331828450074,2025-03-10 17:18:15,USR000047,sneha63@okhdfcbank,Reza Krishnan,753@okicici,5814,474.26,INR,P2P,SUCCESS,142236204624,,Android,T3
UPI51713074555511,2025-05-11 16:34:54,USR000047,sneha96@ibl,BESCOM,331@okicici,5912,345.96,INR,P2M,SUCCESS,961300673340,,Android,T3
UPI75632268482987,2025-11-28 11:31:51,USR000047,sneha48@okstatebank,Local Kirana,611@paytm,5411,164.64,INR,P2M,SUCCESS,428046944184,,Android,T3
UPI28022030539247,2025-02-14 11:00:10,USR000047,sneha21@paytm,BSNL,632@okstatebank,4814,25.53,INR,P2M,SUCCESS,789759299645,,Android,T3
UPI16971938659517,2025-04-04 22:43:19,USR000047,sneha30@apl,NSE,537@okicici,5814,7676.6,INR,Recharge,SUCCESS,987665560076,,Android,T3
UPI62243018159119,2025-12-14 18:22:29,USR000047,sneha91@okhdfcbank,Myntra,282@okhdfcbank,5411,234.66,INR,P2M,FAILURE,678685555771,LIMIT_EXCEEDED,Android,T3
UPI60837394058903,2025-05-04 00:12:21,USR000047,sneha95@upi,Groww,459@paytm,4111,3566.72,INR,P2M,FAILURE,918757677061,LIMIT_EXCEEDED,Android,T3
UPI37206079241927,2025-08-17 12:53:24,USR000047,sneha55@okaxis,INDmoney,709@ybl,4111,3515.7,INR,P2M,SUCCESS,323310486990,,Android,T3
UPI11555107260701,2025-02-25 12:37:14,USR000047,sneha61@okhdfcbank,Rahul Bansal,312@apl,6011,742.28,INR,P2P,SUCCESS,207811588937,,Android,T3
UPI67741905685844,2025-11-22 20:36:57,USR000047,sneha6@upi,Petrol Pump-IOC,677@okicici,5812,246.18,INR,P2M,SUCCESS,886222163191,,Android,T3
UPI15473677212371,2025-02-28 07:23:27,USR000047,sneha45@apl,BESCOM,132@okaxis,5732,11480.91,INR,Recharge,SUCCESS,502919034791,,Android,T3
UPI18006046128965,2025-05-10 17:03:37,USR000047,sneha36@okicici,Nikhil Iyer,498@ybl,5732,214.09,INR,P2P,FAILURE,960986745976,INSUFFICIENT_BALANCE,Android,T3
UPI31329782707228,2025-01-09 19:08:16,USR000047,sneha77@okhdfcbank,Local Kirana,937@apl,5311,92.64,INR,P2M,SUCCESS,232660489079,,Android,T3
UPI76825096477670,2025-02-09 05:25:20,USR000047,sneha92@upi,Amazon,525@okaxis,5311,15925.27,INR,P2M,SUCCESS,244129122516,,Android,T3
UPI73529939765908,2025-12-05 00:37:24,USR000047,sneha42@okhdfcbank,Krishna Mitra,225@ybl,5732,455.11,INR,P2P,SUCCESS,789568574190,,Android,T3
UPI87054184530830,2025-11-18 10:26:55,USR000047,sneha70@apl,INDmoney,953@paytm,4111,201.19,INR,P2M,PENDING,948621407750,,Android,T3
UPI93325331065303,2025-02-16 21:04:05,USR000047,sneha16@upi,Decathlon,299@okicici,5812,3196.89,INR,P2M,SUCCESS,805114935625,,Android,T3
